,Min,nb_ecole_1kms,nb_ecole_3kms,nb_ecole_5kms,nb_ecole_10kms,nb_ecole_20kms
14423,0.2332049986118499,7,10,10,16,28
14424,0.9395315769110922,2,4,18,54,316
14425,0.445838968034535,3,26,30,48,100
14426,0.2041872754585953,58,377,984,2861,5632
14427,0.1584395061453127,32,225,622,2402,5326
14428,0.2547607892431091,12,95,244,546,994
14429,1.1841746372791313,0,3,4,73,140
14430,1.0466014688620462,0,4,6,19,142
14431,0.2833777040402015,9,46,56,108,524
14432,1.1797590965038365,0,4,11,57,424
14433,0.0381773224422611,82,518,1124,2842,5779
14434,0.1065805021706916,16,61,74,114,234
14435,0.1166340581298576,2,3,4,11,56
14436,0.7938145338803289,1,39,76,184,335
14437,0.9344295382154694,3,4,6,13,88
14438,0.1253868382099499,17,29,33,42,69
14439,0.6179493948674359,2,4,4,10,64
14440,0.2469574502677594,18,105,155,214,312
14441,1.1901905702919218,0,31,156,462,708
14442,0.9524561407533666,1,7,9,22,127
14443,0.8916985591467909,1,1,2,10,87
14444,1.1156451233044926,0,4,4,37,134
14445,1.904005708326436,0,2,2,11,63
14446,0.1027970486136741,27,402,1193,2871,5735
14447,0.0962388262679643,21,76,102,140,262
14448,0.5896111159025756,1,2,5,11,82
14449,0.1224145700360508,10,18,21,37,81
14450,1.1048860290967746,0,8,11,27,97
14451,0.2406052145395805,6,22,30,48,127
14452,0.048426484370534,32,157,425,819,1137
14453,1.249846105243133,0,5,13,49,86
14454,0.253888556398343,3,7,14,18,235
14455,0.3902004124463116,14,69,195,906,3383
14456,0.1419934597950822,12,64,88,108,162
14457,0.3372340253741335,9,39,130,440,681
14458,0.614996603501222,4,7,7,8,19
14459,0.3870353684404335,16,65,223,959,4209
14460,0.3375371320463403,10,43,105,364,1786
14461,3.4533612875437143,0,0,1,7,39
14462,0.1450941845603827,6,8,11,20,47
14463,0.281630866549206,17,116,239,343,556
14464,0.1095615432366355,23,256,689,2481,5349
14465,0.2098164968215221,13,28,33,66,119
14466,0.0212917923963359,68,382,1043,2858,5686
14467,0.3522452323325301,35,132,201,310,424
14468,0.3652990333978232,13,124,351,1410,4877
14469,0.7531060208271458,1,2,5,30,210
14470,0.4347177245882833,1,3,8,26,94
14471,0.4884127989968679,3,3,3,57,156
14472,0.5273930900519789,3,19,29,83,919
14473,5.378213168709554,0,0,0,5,46
14474,0.4289103948303424,2,7,7,15,24
14475,0.295927442678893,8,52,75,97,147
14476,0.0418897499263081,23,133,275,509,708
14477,0.6995409766021575,3,41,41,70,112
14478,0.2066984904976668,10,139,335,1466,5118
14479,1.1729288003844285,0,1,2,5,53
14480,0.5614712450026736,4,12,13,19,54
14481,0.567676826030011,1,2,5,26,142
14482,1.0643868101037717,0,17,21,36,113
14483,0.0632012119263374,11,70,127,366,1288
14484,0.1550000614549492,42,137,268,511,701
14485,0.1611865345566745,24,169,393,1419,4627
14486,0.2798350488051875,11,19,21,37,123
14487,0.1354110741038281,32,44,59,73,119
14488,0.2174808847795532,10,76,208,365,1451
14489,0.1989641847987111,8,10,10,13,50
14490,0.0948895181156508,20,88,151,374,1492
14491,0.6337702625458091,2,10,14,18,237
14492,0.1867117636969238,17,86,144,198,345
14493,0.9356694638106956,1,2,4,15,61
14494,0.2973379063645852,30,387,1032,2811,5723
14495,0.178808159466954,8,50,101,556,2980
14496,0.3075132509111648,7,74,255,968,4312
14497,0.0146669182189591,3,3,5,39,267
14498,0.3704485322503545,7,41,56,76,123
14499,0.0660392568009077,7,54,113,423,693
14500,0.9513334001507594,1,1,3,15,146
14501,0.5149651756601651,5,28,31,53,105
14502,0.1105117062640906,9,67,202,918,3925
14503,0.1571978690355765,62,532,1156,2878,5781
14504,0.0777089201303291,1,35,61,118,546
14505,0.5640921888752428,2,15,24,60,149
14506,0.6488090416448632,3,12,19,131,742
14507,0.36463272255393,15,29,32,52,320
14508,0.1212943651236906,8,39,53,68,113
14509,0.2542607499762012,6,6,9,36,258
14510,0.905082130129991,1,4,13,61,135
14511,0.1966538609277325,2,5,17,118,618
14512,0.3343440676028236,12,120,240,369,528
14513,0.6727518685680132,3,14,23,80,786
14514,0.2389742853909845,21,120,149,182,270
14515,1.0850921102581168,0,3,5,46,92
14516,0.9731983628748992,1,7,10,20,88
14517,0.701863990110249,2,7,11,32,139
14518,1.0416854186054123,0,5,13,31,178
14519,0.6330511103631838,5,60,104,191,426
14520,1.3231187580378154,0,8,14,64,334
14521,0.457523231296102,15,97,161,206,259
14522,0.1626921864710859,8,71,102,141,263
14523,1.900960150654093,0,2,5,30,89
14524,0.1461209064496412,3,6,6,10,34
14525,5.29646365692552,0,0,0,13,61
14526,0.1579368798565743,32,225,466,816,1150
14527,0.1081846642272748,12,99,207,791,4012
14528,0.2922330311549789,2,19,64,266,1111
14529,0.2732644841064414,6,7,8,16,67
14530,0.1955244849912666,12,33,59,199,1012
14531,0.4512495019431724,6,57,81,147,241
14532,0.0880474033156746,35,165,282,488,757
14533,0.6471693577781094,3,34,49,73,123
14534,0.7560695441294594,4,7,15,102,567
14535,0.4375798467139484,22,142,394,1531,4671
14536,0.849251678308096,1,1,4,79,148
14537,0.3013936163789428,6,8,10,40,174
14538,0.0463499249485383,22,138,240,351,533
14539,0.0963414325421922,65,372,919,2874,5633
14540,0.5232238811186153,16,59,74,116,238
14541,0.2628771518573912,25,87,159,543,3180
14542,0.2610319482645725,3,13,30,90,415
14543,0.3066133681286102,7,15,15,23,42
14544,0.1009890851738985,6,14,27,131,442
14545,4.288284234178851,0,0,1,13,85
14546,4.132938006877664,0,0,1,14,79
14547,0.8428004808572502,1,2,8,40,158
14548,1.000834629078572,0,3,5,23,267
14549,0.4377183203152909,2,2,15,22,70
14550,1.4879482839519795,0,5,5,12,58
14551,2.583457053438049,0,1,2,20,73
14552,0.0848811091090013,1,1,8,23,149
14553,0.2593678827421126,7,19,55,279,1132
14554,0.3882250825461137,2,15,22,46,216
14555,0.6086764291714964,2,2,2,20,46
14556,0.4768571377300447,8,41,207,1059,4310
14557,0.994553766544268,1,2,2,10,38
14558,0.273456727571066,13,31,45,97,248
14559,0.1473605239422609,21,37,46,66,136
14560,0.5399638748488265,1,1,4,13,131
14561,0.3396092789441027,7,76,178,334,519
14562,0.925468748248998,1,17,56,439,1140
14563,0.2381714073347959,2,7,10,20,70
14564,0.8949534966046566,2,15,19,34,72
14565,1.2042431575237451,0,7,11,37,280
14566,0.6342995168108821,2,24,35,66,191
14567,0.8578262308269385,1,1,3,20,134
14568,0.6531155057680207,6,55,131,330,920
14569,0.4479118677124225,14,116,304,1416,5021
14570,1.0847727244683498,0,5,5,42,82
14571,0.1384375926321522,26,86,112,149,207
14572,1.1675892420402414,0,27,52,65,106
14573,0.010200032810272,28,155,283,497,758
14574,0.6841126203490034,2,29,42,76,258
14575,0.2015744359449073,2,3,7,19,51
14576,0.2874710721863499,3,9,46,342,697
14577,0.5872775112768698,7,37,171,929,4037
14578,0.2754013293927725,20,221,537,2110,5382
14579,0.6984839659238574,3,13,25,106,475
14580,1.492322495677493,0,1,2,10,61
14581,0.0512905857058251,13,76,278,1178,4735
14582,0.5899098849226008,1,3,3,15,69
14583,0.2708665551776008,6,13,17,36,136
14584,0.2495997786901575,7,15,44,218,718
14585,0.3476780968459111,25,228,557,2129,5392
14586,0.3276712355655893,9,27,34,72,279
14587,1.1234353061933828,0,2,4,20,121
14588,1.3438932608884298,0,3,6,30,125
14589,0.216747442028193,4,36,110,394,678
14590,0.2604246103287832,3,3,4,8,152
14591,0.1633557212005681,53,379,1048,2878,5681
14592,0.473017089508928,6,33,51,68,106
14593,0.4323619555174929,13,165,486,1976,5087
14594,0.4231992733413011,12,17,18,23,51
14595,0.2392115412971732,15,72,105,141,264
14596,0.7121779978473876,6,49,108,525,2010
14597,0.3586838596587831,11,83,168,789,3398
14598,0.1168268172982077,1,2,2,9,134
14599,0.6770456197017121,1,7,19,70,258
14600,0.5124843891518421,2,4,6,13,136
14601,0.0837204180768799,58,426,1000,2852,5652
14602,0.0999065525308109,63,363,931,2865,5619
14603,0.5940970818303247,2,2,4,15,81
14604,0.2191497921460232,7,9,10,17,51
14605,0.8303116130299565,1,1,2,18,60
14606,0.9395171180269706,1,1,3,18,61
14607,0.0312004087428312,19,229,680,2483,5717
14608,0.1600776522422687,1,2,4,39,157
14609,0.6228179793435209,12,81,101,176,529
14610,0.3015024091913724,11,35,53,68,109
14611,0.0971166921224616,1,1,4,19,115
14612,0.2164056852151312,17,115,236,339,553
14613,1.0708283537637993,0,4,15,64,253
14614,1.216349881948071,0,6,18,186,686
14615,2.0247981832785293,0,2,2,9,50
14616,0.536668241369675,2,20,28,37,125
14617,0.7725449240455051,1,56,71,97,197
14618,0.1411387301147465,27,270,584,2241,5220
14619,0.4601753026433817,13,39,168,418,1418
14620,1.8296670012875755,0,5,11,26,100
14621,0.1068046850097975,38,335,761,2727,5484
14622,0.3509115873316109,2,2,2,9,38
14623,0.2422795458748746,25,144,421,1752,5335
14624,1.284533308312615,0,9,12,30,72
14625,0.5938900107109211,3,62,71,96,200
14626,0.4830256761470844,1,1,6,29,157
14627,1.6723681109632302,0,22,51,65,102
14628,0.25128546453823,4,8,10,24,96
14629,0.1992855556725722,2,7,7,10,20
14630,0.8818301334875017,1,4,8,41,98
14631,0.1479505152242724,24,158,284,510,854
14632,0.2899978897456104,9,88,240,495,721
14633,0.5730255697028168,2,5,19,100,216
14634,0.0226709040146187,26,197,508,2024,5345
14635,0.8088311268866197,2,7,11,24,169
14636,0.6390633491283488,4,20,55,304,454
14637,1.1606849509126844,0,26,31,44,214
14638,0.0955608844467095,13,61,149,639,1151
14639,1.3628978760264148,0,5,9,50,178
14640,0.1813961132238545,9,92,113,171,403
14641,0.8105489375625554,1,1,1,2,23
14642,0.1054942267529616,15,85,222,1129,4646
14643,1.178675458074076,0,4,9,24,143
14644,0.6238936911976997,2,11,22,50,125
14645,0.3889630259677477,11,77,117,166,239
14646,0.03498725855678,47,283,508,758,1007
14647,0.0463497917953461,5,5,5,10,61
14648,2.2412450104045685,0,1,8,24,67
