Code plate-forme;Code gare;Code UIC;Date fin validité plateforme;Intitulé plateforme;Code postal;Code Commune;Commune;Code département;Département;Longitude;Latitude;Segment DRG;Niveau de service;RG;TVSs;SOPs;Gare;Intitulé gare;Intitulé fronton de gare;Gare DRG;Gare étrangère;DTG;Région SNCF;Unité gare;UT;Nbre plateformes;TVS;WGS 84
02449-1;02449;0087276766;;Ribécourt-Dreslincourt;60170;537;Ribécourt-Dreslincourt;60;Oise;2.92714;49.50633;c;1;GARES C PICARDIE;"[{""TVS_Code"": ""RIB""}]";;"{""DRG_ON"": true, ""Etrangere_ON"": false, ""NbPltf"": 1, ""Alias_Libelle_NonContraint"": ""Ribécourt-Dreslincourt"", ""Alias_Libelle_Fronton"": ""Ribécourt"", ""AgenceGC_Libelle"": ""DTG Hauts de France - Normandie"", ""RegionSNCF_Libelle"": ""REGION DE PARIS-NORD"", ""UG_Libelle"": ""UG Picardie"", ""UT_Libelle"": ""RIBECOURT GARE""}";Ribécourt-Dreslincourt;Ribécourt;True;False;DTG Hauts de France - Normandie;REGION DE PARIS-NORD;UG Picardie;RIBECOURT GARE;1;RIB;49.50633,2.92714
02451-1;02451;0087276741;;Thourotte;60150;636;Thourotte;60;Oise;2.8830021;49.4760722;c;1;GARES C PICARDIE;"[{""TVS_Code"": ""LTC""}]";;"{""DRG_ON"": true, ""Etrangere_ON"": false, ""NbPltf"": 1, ""Alias_Libelle_NonContraint"": ""Thourotte"", ""Alias_Libelle_Fronton"": ""Thourotte"", ""AgenceGC_Libelle"": ""DTG Hauts de France - Normandie"", ""RegionSNCF_Libelle"": ""REGION DE PARIS-NORD"", ""UG_Libelle"": ""UG Picardie"", ""UT_Libelle"": ""THOUROTTE GARE""}";Thourotte;Thourotte;True;False;DTG Hauts de France - Normandie;REGION DE PARIS-NORD;UG Picardie;THOUROTTE GARE;1;LTC;49.4760722,2.8830021
02453-1;02453;0087276725;;Chambly;60230;139;Chambly;60;Oise;2.24048;49.16362;b;1;GARES B PICARDIE;"[{""TVS_Code"": ""CVK""}]";;"{""DRG_ON"": true, ""Etrangere_ON"": false, ""NbPltf"": 1, ""Alias_Libelle_NonContraint"": ""Chambly"", ""Alias_Libelle_Fronton"": ""Chambly"", ""AgenceGC_Libelle"": ""DTG Hauts de France - Normandie"", ""RegionSNCF_Libelle"": ""REGION DE PARIS-NORD"", ""UG_Libelle"": ""UG Picardie"", ""UT_Libelle"": ""CHAMBLY GARE""}";Chambly;Chambly;True;False;DTG Hauts de France - Normandie;REGION DE PARIS-NORD;UG Picardie;CHAMBLY GARE;1;CVK;49.16362,2.24048
02462-1;02462;0087276618;;Montataire;60160;414;Montataire;60;Oise;2.4362155;49.2510365;c;1;GARES C PICARDIE;"[{""TVS_Code"": ""MOO""}]";;"{""DRG_ON"": true, ""Etrangere_ON"": false, ""NbPltf"": 1, ""Alias_Libelle_NonContraint"": ""Montataire"", ""Alias_Libelle_Fronton"": ""Montataire"", ""AgenceGC_Libelle"": ""DTG Hauts de France - Normandie"", ""RegionSNCF_Libelle"": ""REGION DE PARIS-NORD"", ""UG_Libelle"": ""UG Picardie"", ""UT_Libelle"": ""MONTATAIRE P GARE""}";Montataire;Montataire;True;False;DTG Hauts de France - Normandie;REGION DE PARIS-NORD;UG Picardie;MONTATAIRE P GARE;1;MOO;49.2510365,2.4362155
02463-1;02463;0087276600;;Saint-Leu-la-Forêt;95320;563;Saint-Leu-la-Forêt;95;Val-d'Oise;2.24264;49.01571;b;;GARES B IDF LIGNE H;"[{""TVS_Code"": ""SLF""}]";;"{""DRG_ON"": true, ""Etrangere_ON"": false, ""NbPltf"": 1, ""Alias_Libelle_NonContraint"": ""Saint-Leu-la-Forêt"", ""Alias_Libelle_Fronton"": ""Saint-Leu-la-Forêt"", ""AgenceGC_Libelle"": ""Direction Générale des Gares Île-de-France"", ""RegionSNCF_Libelle"": ""REGION DE PARIS-NORD"", ""UG_Libelle"": null, ""UT_Libelle"": ""SAINT LEU LA FORET GARE""}";Saint-Leu-la-Forêt;Saint-Leu-la-Forêt;True;False;Direction Générale des Gares Île-de-France;REGION DE PARIS-NORD;;SAINT LEU LA FORET GARE;1;SLF;49.01571,2.24264
02465-1;02465;0087276584;;Ermont Halte;95120;219;Ermont;95;Val-d'Oise;2.26323;48.98980;b;;GARES B IDF LIGNE H;"[{""TVS_Code"": ""ERM""}]";;"{""DRG_ON"": true, ""Etrangere_ON"": false, ""NbPltf"": 1, ""Alias_Libelle_NonContraint"": ""Ermont Halte"", ""Alias_Libelle_Fronton"": ""Ermont Halte"", ""AgenceGC_Libelle"": ""Direction Générale des Gares Île-de-France"", ""RegionSNCF_Libelle"": ""REGION DE PARIS-NORD"", ""UG_Libelle"": null, ""UT_Libelle"": ""ERMONT HALTE""}";Ermont Halte;Ermont Halte;True;False;Direction Générale des Gares Île-de-France;REGION DE PARIS-NORD;;ERMONT HALTE;1;ERM;48.9898,2.26323
02477-1;02477;0087276451;;Bruyères-sur-Oise;95820;116;Bruyères-sur-Oise;95;Val-d'Oise;2.3259636;49.1552098;c;;Gares C Ile-de-France;"[{""TVS_Code"": ""BRK""}]";;"{""DRG_ON"": true, ""Etrangere_ON"": false, ""NbPltf"": 1, ""Alias_Libelle_NonContraint"": ""Bruyères-sur-Oise"", ""Alias_Libelle_Fronton"": ""Bruyères-sur-Oise"", ""AgenceGC_Libelle"": ""Direction Générale des Gares Île-de-France"", ""RegionSNCF_Libelle"": ""REGION DE PARIS-NORD"", ""UG_Libelle"": null, ""UT_Libelle"": ""BRUYERES SUR OISE GARE""}";Bruyères-sur-Oise;Bruyères-sur-Oise;True;False;Direction Générale des Gares Île-de-France;REGION DE PARIS-NORD;;BRUYERES SUR OISE GARE;1;BRK;49.1552098,2.3259636
02478-1;02478;0087276444;;Boran-sur-Oise;60820;086;Boran-sur-Oise;60;Oise;2.362537;49.1671348;c;1;GARES C PICARDIE;"[{""TVS_Code"": ""BRN""}]";;"{""DRG_ON"": true, ""Etrangere_ON"": false, ""NbPltf"": 1, ""Alias_Libelle_NonContraint"": ""Boran-sur-Oise"", ""Alias_Libelle_Fronton"": ""Boran-sur-Oise"", ""AgenceGC_Libelle"": ""DTG Hauts de France - Normandie"", ""RegionSNCF_Libelle"": ""REGION DE PARIS-NORD"", ""UG_Libelle"": ""UG Picardie"", ""UT_Libelle"": ""BORAN SUR OISE GARE""}";Boran-sur-Oise;Boran-sur-Oise;True;False;DTG Hauts de France - Normandie;REGION DE PARIS-NORD;UG Picardie;BORAN SUR OISE GARE;1;BRN;49.1671348,2.362537
02481-1;02481;0087276402;;Saint-Leu-d'Esserent;60340;584;Saint-Leu-d'Esserent;60;Oise;2.4177845;49.2140819;c;1;GARES C PICARDIE;"[{""TVS_Code"": ""SLT""}]";;"{""DRG_ON"": true, ""Etrangere_ON"": false, ""NbPltf"": 1, ""Alias_Libelle_NonContraint"": ""Saint-Leu-d'Esserent"", ""Alias_Libelle_Fronton"": ""Saint-Leu-d'Esserent"", ""AgenceGC_Libelle"": ""DTG Hauts de France - Normandie"", ""RegionSNCF_Libelle"": ""REGION DE PARIS-NORD"", ""UG_Libelle"": ""UG Picardie"", ""UT_Libelle"": ""SAINT LEU D ESSERENT GARE""}";Saint-Leu-d'Esserent;Saint-Leu-d'Esserent;True;False;DTG Hauts de France - Normandie;REGION DE PARIS-NORD;UG Picardie;SAINT LEU D ESSERENT GARE;1;SLT;49.2140819,2.4177845
02484-1;02484;0087276378;;Villers-Saint-Paul;60870;684;Villers-Saint-Paul;60;Oise;2.4899067;49.2825762;c;1;GARES C PICARDIE;"[{""TVS_Code"": ""VPL""}]";;"{""DRG_ON"": true, ""Etrangere_ON"": false, ""NbPltf"": 1, ""Alias_Libelle_NonContraint"": ""Villers-Saint-Paul"", ""Alias_Libelle_Fronton"": ""Villers-Saint-Paul"", ""AgenceGC_Libelle"": ""DTG Hauts de France - Normandie"", ""RegionSNCF_Libelle"": ""REGION DE PARIS-NORD"", ""UG_Libelle"": ""UG Picardie"", ""UT_Libelle"": ""VILLERS ST PAUL GARE""}";Villers-Saint-Paul;Villers-Saint-Paul;True;False;DTG Hauts de France - Normandie;REGION DE PARIS-NORD;UG Picardie;VILLERS ST PAUL GARE;1;VPL;49.2825762,2.4899067
02486-1;02486;0087276352;;Rieux - Angicourt;60870;539;Rieux;60;Oise;2.52140;49.29866;b;1;GARES B PICARDIE;"[{""TVS_Code"": ""RIA""}]";;"{""DRG_ON"": true, ""Etrangere_ON"": false, ""NbPltf"": 1, ""Alias_Libelle_NonContraint"": ""Rieux - Angicourt"", ""Alias_Libelle_Fronton"": ""Rieux - Angicourt"", ""AgenceGC_Libelle"": ""DTG Hauts de France - Normandie"", ""RegionSNCF_Libelle"": ""REGION DE PARIS-NORD"", ""UG_Libelle"": ""UG Picardie"", ""UT_Libelle"": ""RIEUX ANGICOURT GARE""}";Rieux - Angicourt;Rieux - Angicourt;True;False;DTG Hauts de France - Normandie;REGION DE PARIS-NORD;UG Picardie;RIEUX ANGICOURT GARE;1;RIA;49.29866,2.5214
02492-1;02492;0087276279;;Orry-la-Ville - Coye;60560;482;Orry-la-Ville;60;Oise;2.49000;49.13895;b;2;GARES B PICARDIE;"[{""TVS_Code"": ""ORY""}]";;"{""DRG_ON"": true, ""Etrangere_ON"": false, ""NbPltf"": 1, ""Alias_Libelle_NonContraint"": ""Orry-la-Ville - Coye"", ""Alias_Libelle_Fronton"": ""Orry-la-Ville - Coye"", ""AgenceGC_Libelle"": ""DTG Hauts de France - Normandie"", ""RegionSNCF_Libelle"": ""REGION DE PARIS-NORD"", ""UG_Libelle"": ""UG Picardie"", ""UT_Libelle"": ""ORRY LA VILLE COYE P GARE""}";Orry-la-Ville - Coye;Orry-la-Ville - Coye;True;False;DTG Hauts de France - Normandie;REGION DE PARIS-NORD;UG Picardie;ORRY LA VILLE COYE P GARE;1;ORY;49.13895,2.49
02495-1;02495;0087276246;;Goussainville;95190;280;Goussainville;95;Val-d'Oise;2.4632464;49.0240732;b;;GARES B IDF LIGNE D;"[{""TVS_Code"": ""GOU""}]";;"{""DRG_ON"": true, ""Etrangere_ON"": false, ""NbPltf"": 1, ""Alias_Libelle_NonContraint"": ""Goussainville"", ""Alias_Libelle_Fronton"": ""Goussainville"", ""AgenceGC_Libelle"": ""Direction Générale des Gares Île-de-France"", ""RegionSNCF_Libelle"": ""REGION DE PARIS-NORD"", ""UG_Libelle"": null, ""UT_Libelle"": ""GOUSSAINVILLE GARE""}";Goussainville;Goussainville;True;False;Direction Générale des Gares Île-de-France;REGION DE PARIS-NORD;;GOUSSAINVILLE GARE;1;GOU;49.0240732,2.4632464
02497-1;02497;0087276220;;Villiers-le-Bel - Gonesse - Arnouville;95400;019;Arnouville;95;Val-d'Oise;2.4162288;48.994175;b;;GARES B IDF LIGNE D;"[{""TVS_Code"": ""VIB""}]";;"{""DRG_ON"": true, ""Etrangere_ON"": false, ""NbPltf"": 1, ""Alias_Libelle_NonContraint"": ""Villiers-le-Bel - Gonesse - Arnouville"", ""Alias_Libelle_Fronton"": ""Villiers-le-Bel - Gonesse - Arnouville"", ""AgenceGC_Libelle"": ""Direction Générale des Gares Île-de-France"", ""RegionSNCF_Libelle"": ""REGION DE PARIS-NORD"", ""UG_Libelle"": null, ""UT_Libelle"": ""VILLIERS LE BEL GONESSE ARNOUVILLE GARE""}";Villiers-le-Bel - Gonesse - Arnouville;Villiers-le-Bel - Gonesse - Arnouville;True;False;Direction Générale des Gares Île-de-France;REGION DE PARIS-NORD;;VILLIERS LE BEL GONESSE ARNOUVILLE GARE;1;VIB;48.994175,2.4162288
02507-1;02507;0087276113;;Chantilly - Gouvieux;60500;141;Chantilly;60;Oise;2.45979;49.18724;b;2;GARES B PICARDIE;"[{""TVS_Code"": ""CLY""}]";;"{""DRG_ON"": true, ""Etrangere_ON"": false, ""NbPltf"": 1, ""Alias_Libelle_NonContraint"": ""Chantilly - Gouvieux"", ""Alias_Libelle_Fronton"": ""Chantilly - Gouvieux"", ""AgenceGC_Libelle"": ""DTG Hauts de France - Normandie"", ""RegionSNCF_Libelle"": ""REGION DE PARIS-NORD"", ""UG_Libelle"": ""UG Picardie"", ""UT_Libelle"": ""CHANTILLY GOUVIEUX GARE""}";Chantilly - Gouvieux;Chantilly - Gouvieux;True;False;DTG Hauts de France - Normandie;REGION DE PARIS-NORD;UG Picardie;CHANTILLY GOUVIEUX GARE;1;CLY;49.18724,2.45979
