,latitude,longitude,Geo Point
2919,49.1190226463,2.39972485252,"49.1190226463,2.39972485252"
2920,48.8717141912,2.22102955043,"48.8717141912,2.22102955043"
2921,49.0247785479,2.22272732081,"49.0247785479,2.22272732081"
2922,48.8833838129,2.2336919188,"48.8833838129,2.2336919188"
2923,48.9344555451,2.3456043782,"48.9344555451,2.3456043782"
2924,48.9032046155,2.07297145657,"48.9032046155,2.07297145657"
2925,48.4273625842,2.1452465929,"48.4273625842,2.1452465929"
2926,48.8062000248,2.4727204038,"48.8062000248,2.4727204038"
2927,49.0910734513,2.20182348425,"49.0910734513,2.20182348425"
2928,48.8183876387,2.29206181457,"48.8183876387,2.29206181457"
2929,48.3867709874,2.84203738882,"48.3867709874,2.84203738882"
2930,48.981071911,2.00593089169,"48.981071911,2.00593089169"
2931,49.1166278825,2.36825354761,"49.1166278825,2.36825354761"
2932,48.9937771469,2.41618748893,"48.9937771469,2.41618748893"
2933,48.5852787101,1.5924579153,"48.5852787101,1.5924579153"
2934,48.1864372096,1.38624502094,"48.1864372096,1.38624502094"
2935,48.2863911796,3.20189382787,"48.2863911796,3.20189382787"
2936,48.0851844953,3.28625649812,"48.0851844953,3.28625649812"
2937,48.0266866323,3.30256453785,"48.0266866323,3.30256453785"
2938,48.7684217766,1.51333305235,"48.7684217766,1.51333305235"
2939,49.2639441445,2.46891411535,"49.2639441445,2.46891411535"
2940,49.2138563248,2.41736939105,"49.2138563248,2.41736939105"
2941,48.8941683862,2.31559922055,"48.8941683862,2.31559922055"
2942,48.8342929805,2.33285230996,"48.8342929805,2.33285230996"
2943,48.8747486507,2.29556025621,"48.8747486507,2.29556025621"
2944,48.8785656258,2.36216007192,"48.8785656258,2.36216007192"
2945,48.8737134067,2.32769540963,"48.8737134067,2.32769540963"
2946,48.8798501425,2.35745934659,"48.8798501425,2.35745934659"
2947,48.8921870764,2.2370180564,"48.8921870764,2.2370180564"
2948,48.8623162787,2.34567382822,"48.8623162787,2.34567382822"
2949,48.848474286,2.39506230543,"48.848474286,2.39506230543"
2950,48.8489446451,2.39587943519,"48.8489446451,2.39587943519"
2951,48.8959158362,2.46033007088,"48.8959158362,2.46033007088"
2952,48.8380758906,2.27117440207,"48.8380758906,2.27117440207"
2953,48.9361346923,2.34644376242,"48.9361346923,2.34644376242"
2954,49.0046874618,2.57058948552,"49.0046874618,2.57058948552"
2955,48.9721416769,1.84834880828,"48.9721416769,1.84834880828"
2956,48.8709741382,2.27557452685,"48.8709741382,2.27557452685"
2957,49.155189859,2.32575400036,"49.155189859,2.32575400036"
2958,48.9919254925,2.07449946383,"48.9919254925,2.07449946383"
2959,48.8768369549,2.32473804682,"48.8768369549,2.32473804682"
2960,48.6484891117,2.43533053155,"48.6484891117,2.43533053155"
2961,48.6857136264,2.31762640497,"48.6857136264,2.31762640497"
2962,48.8104024644,1.76505675656,"48.8104024644,1.76505675656"
2963,48.6260224281,2.42873898735,"48.6260224281,2.42873898735"
2964,48.8773756199,2.35945661694,"48.8773756199,2.35945661694"
2965,48.8807689583,2.35711533495,"48.8807689583,2.35711533495"
2966,48.8196744882,2.25875976703,"48.8196744882,2.25875976703"
2967,48.8809920835,2.07917759196,"48.8809920835,2.07917759196"
2968,48.7347165868,2.2734834644,"48.7347165868,2.2734834644"
2969,48.9572688678,2.87344818875,"48.9572688678,2.87344818875"
2970,48.4849573772,2.35185842142,"48.4849573772,2.35185842142"
2971,48.7553892687,1.94383520242,"48.7553892687,1.94383520242"
2972,48.9310542278,2.26060231561,"48.9310542278,2.26060231561"
2973,48.7396810434,2.28766749545,"48.7396810434,2.28766749545"
2974,48.8854042809,2.29803330321,"48.8854042809,2.29803330321"
2975,48.2677581099,2.68564708994,"48.2677581099,2.68564708994"
2976,48.853485713,2.51382529103,"48.853485713,2.51382529103"
2977,48.8434916487,2.6159524885,"48.8434916487,2.6159524885"
2978,49.0804937079,2.00371537163,"49.0804937079,2.00371537163"
2979,48.8908567963,2.8264054973,"48.8908567963,2.8264054973"
2980,48.8607082299,2.32562029875,"48.8607082299,2.32562029875"
2981,48.9015496743,2.21523234727,"48.9015496743,2.21523234727"
2982,48.5510919756,2.12570727041,"48.5510919756,2.12570727041"
2983,49.0155849755,2.2424791085,"49.0155849755,2.2424791085"
2984,48.8473083595,2.43329971764,"48.8473083595,2.43329971764"
2985,48.8054930337,2.16852039287,"48.8054930337,2.16852039287"
2986,48.7952802463,2.1360504883,"48.7952802463,2.1360504883"
2987,47.9734303157,3.39286472634,"47.9734303157,3.39286472634"
2988,48.0965027788,2.77230261766,"48.0965027788,2.77230261766"
2989,48.1472180399,2.7627283872,"48.1472180399,2.7627283872"
2990,49.2032657335,2.37660117732,"49.2032657335,2.37660117732"
2991,48.7712660381,2.43530633971,"48.7712660381,2.43530633971"
2992,48.8945308642,2.31406465443,"48.8945308642,2.31406465443"
2993,48.8410940563,2.2879457665,"48.8410940563,2.2879457665"
2994,48.8523154274,2.38937812792,"48.8523154274,2.38937812792"
2995,48.8420053473,2.23888732579,"48.8420053473,2.23888732579"
2996,48.892082786,2.28500950275,"48.892082786,2.28500950275"
2997,48.8515102782,2.39830234427,"48.8515102782,2.39830234427"
2998,48.8834361881,2.34977444365,"48.8834361881,2.34977444365"
2999,48.8333385593,2.38663240207,"48.8333385593,2.38663240207"
