,Min,nb_gare_1kms,nb_gare_3kms,nb_gare_5kms,nb_gare_10kms,nb_gare_20kms
26575,6.022301387202809,0,0,0,2,7
26576,9.544906773063667,0,0,0,1,23
26577,10.95759707224954,0,0,0,0,2
26578,0.5918938297456261,1,1,1,2,3
26579,1.009506237205119,0,1,1,1,4
26580,0.54082036583576,6,59,136,527,975
26581,0.7640289545226486,1,22,113,519,949
26582,8.587647958080721,0,0,0,1,5
26583,10.94162781076798,0,0,0,0,1
26584,1.3988822368666864,0,13,26,140,791
26585,8.079295458731494,0,0,0,1,2
26586,0.3786611155120017,2,54,179,583,997
26587,2.8964066504311003,0,1,1,2,6
26588,1.3852194154916586,0,17,55,219,891
26589,2.5273172914662423,0,1,4,20,51
26590,0.5127264983021883,4,21,44,101,725
26591,4.390434482079466,0,0,1,1,12
26592,0.0755289930726088,17,139,300,624,998
26593,3.669717945369111,0,0,1,3,5
26594,10.9222245763275,0,0,0,0,6
26595,0.8040091922519074,1,1,2,4,8
26596,2.2118705895185893,0,2,3,10,38
26597,0.5113562930174858,1,1,2,4,8
26598,0.9896572170879884,1,2,4,8,32
26599,2.4336990706400314,0,2,8,25,54
26600,1.8247145263945783,0,2,6,9,20
26601,2.68300110104986,0,1,1,2,4
26602,0.5904211830925769,3,7,24,99,509
26603,1.5914271046883148,0,5,8,16,29
26604,1.719350076097595,0,1,1,3,5
26605,21.98488158411172,0,0,0,0,0
26606,7.368812507220651,0,0,0,1,2
26607,11.465078542314386,0,0,0,0,8
26608,15.554200986916651,0,0,0,0,7
26609,4.352709331012196,0,0,2,5,17
26610,0.9575304036204706,1,1,1,1,2
26611,3.6048950399553,0,0,3,8,27
26612,2.492520552560021,0,1,2,2,11
26613,5.682730389483432,0,0,0,16,76
26614,0.7460483419936238,2,4,10,20,52
26615,0.3792531969345295,1,1,2,2,12
26616,4.770066630066737,0,0,1,6,18
26617,3.514777251411348,0,0,4,10,50
26618,1.048275311335365,0,7,11,25,122
26619,2.2513797434506437,0,2,2,7,16
26620,12.615352103196694,0,0,0,0,4
26621,24.70912173864003,0,0,0,0,0
26622,0.3098951870203512,2,36,126,521,986
26623,11.940138799020351,0,0,0,0,5
26624,13.491459187940414,0,0,0,0,2
26625,1.4333858167159352,0,1,3,9,18
26626,8.611951443895329,0,0,0,1,5
26627,1.3269441437918914,0,1,1,1,2
26628,2.487839649879171,0,1,1,1,4
26629,7.83208603579514,0,0,0,5,12
26630,0.4495868421199143,5,61,148,532,978
26631,13.419911307343886,0,0,0,0,13
26632,0.5955010732148184,1,1,3,6,14
26633,0.8134059247660231,1,16,39,316,941
26634,1.1974764776876925,0,2,2,5,11
26635,23.99617127314937,0,0,0,0,0
26636,11.722558826498132,0,0,0,0,2
26637,2.676053527852417,0,1,2,5,9
26638,0.608434727576927,5,35,78,471,974
26639,1.5562779234439272,0,1,1,6,16
26640,0.2380854860596702,15,150,300,672,1002
26641,1.731123253706233,0,1,1,2,3
26642,0.5905493007765323,1,3,5,11,20
26643,0.8714581911003432,1,1,1,2,2
26644,0.1185384784830437,1,1,1,1,2
26645,2.897265717602087,0,1,2,5,17
26646,2.032748499314029,0,1,3,7,13
26647,3.64992576309176,0,0,2,5,18
26648,23.173200303921902,0,0,0,0,0
26649,10.485412051511664,0,0,0,0,1
26650,1.4353823225718376,0,1,1,1,4
26651,3.080729007088555,0,0,3,5,10
26652,0.3645225378010228,1,1,2,4,9
26653,22.19814317672881,0,0,0,0,0
26654,1.4538119377169694,0,1,1,1,8
26655,1.1083013463176556,0,1,4,12,25
26656,18.875268603396357,0,0,0,0,1
26657,2.2382407486031304,0,1,2,9,20
26658,0.3507866053604963,2,12,20,55,198
26659,2.138841251869816,0,2,4,6,12
26660,9.676150372807228,0,0,0,1,20
26661,3.921344093717429,0,0,1,3,10
26662,1.72750166362537,0,1,1,3,7
26663,30.09048116205413,0,0,0,0,0
26664,2.2541696304477146,0,3,6,18,122
26665,21.472984763287165,0,0,0,0,0
26666,6.55252869217222,0,0,0,2,16
26667,4.365157443102987,0,0,1,3,8
26668,5.678424661630775,0,0,0,2,8
26669,0.8648572570131381,1,2,6,11,22
26670,2.6090096966453205,0,1,3,10,27
26671,4.415111236580838,0,0,1,7,17
26672,7.292607513193382,0,0,0,5,22
26673,14.290414901637645,0,0,0,0,4
26674,0.7123433092721093,1,1,2,3,12
26675,0.6133715874837168,1,2,2,5,10
26676,9.129183796674315,0,0,0,1,4
26677,1.4900603636795289,0,1,3,7,37
26678,0.6031613389546074,5,45,141,566,980
26679,6.621874941127465,0,0,0,1,2
26680,6.162399497550627,0,0,0,1,3
26681,0.4733206452196741,4,25,67,291,916
26682,0.2239268369159051,2,4,14,104,777
26683,0.5121304822101299,1,1,2,2,7
26684,12.71053408312721,0,0,0,0,2
26685,4.739237003851867,0,0,1,3,9
26686,33.30111637011606,0,0,0,0,0
26687,1.0423751315564214,0,1,2,5,13
26688,0.7634382521764533,1,1,1,1,2
26689,0.2550586292530957,5,30,107,514,986
26690,0.0440644320085252,3,18,57,366,923
26691,7.256793859682929,0,0,0,4,15
26692,2.124589184779832,0,2,4,8,16
26693,9.954944439539684,0,0,0,1,9
26694,1.9329313486825743,0,1,2,9,18
26695,0.6100485026253841,3,17,44,170,832
26696,1.1369226512112305,0,1,2,3,4
26697,1.9144094697054996,0,1,5,23,51
26698,0.3198444547084069,2,4,6,8,36
26699,16.872700337359294,0,0,0,0,1
26700,8.220698340531609,0,0,0,1,11
26701,2.511155672775597,0,1,2,5,12
26702,4.389100928907685,0,0,1,1,3
26703,1.7325364331341069,0,1,2,5,13
26704,1.4520995163533017,0,1,2,8,15
26705,0.7535136349560135,1,6,20,151,830
26706,0.7078399806194987,2,8,17,54,609
26707,0.7196456669641713,1,1,3,12,25
26708,33.89980655839959,0,0,0,0,0
26709,1.7003451347708998,0,3,7,17,29
26710,1.348058813541699,0,4,6,18,98
26711,0.7721400529044824,2,8,42,199,857
26712,1.6199347616228963,0,4,6,10,34
26713,0.1720433091235495,12,118,284,651,997
26714,12.322550185171073,0,0,0,0,3
26715,0.9385036079032782,1,6,21,158,830
26716,0.4147937092802539,1,1,1,1,6
26717,0.2136309266442559,17,168,361,650,1014
26718,19.10867882835056,0,0,0,0,1
26719,3.506171914320072,0,0,2,8,34
26720,1.821536843048429,0,1,2,3,10
26721,1.5275671510586764,0,1,1,1,4
26722,11.771160192662402,0,0,0,0,4
26723,0.5630541434421604,6,28,57,174,839
26724,1.9364823596282192,0,1,5,13,37
26725,0.2878335268818545,4,16,33,102,691
26726,0.2814437723977087,2,3,8,13,24
26727,9.023508504551012,0,0,0,1,7
26728,10.043439083056134,0,0,0,0,5
26729,0.9974343835830464,1,1,1,3,10
